FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Michael Costable (R),"Costable, Michael",Michael,Costable,R,Rockingham,3,Rockingham-3,408389,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Kevin  Craig (R),"Craig, Kevin ",Kevin ,Craig,R,Coos,4,Coos-4,408944,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Jonathan  Mackie (R),"Mackie, Jonathan ",Jonathan ,Mackie,R,Belknap,2,Belknap-2,408819,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Andrew Prout (R),"Prout, Andrew",Andrew,Prout,R,Hillsborough,37,Hillsborough-37,408359,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Michael Sylvia (R),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-6,377177,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,33,Rockingham-33,408926,57,57,57,0,0,0,140,140,0,100,A+,0,100,A+
Rep. Judy Aron (R),"Aron, Judy",Judy,Aron,R,Sullivan,7,Sullivan-7,408942,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Alan Bershtein (R),"Bershtein, Alan",Alan,Bershtein,R,Rockingham,2,Rockingham-2,408899,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Jess Edwards (R),"Edwards, Jess",Jess,Edwards,R,Rockingham,4,Rockingham-4,408392,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Michael Furbush (R),"Furbush, Michael",Michael,Furbush,R,Coos,1,Coos-1,408831,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Richard Lascelles (R),"Lascelles, Richard",Richard,Lascelles,R,Hillsborough,20,Hillsborough-20,408331,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Carol McGuire (R),"McGuire, Carol",Carol,McGuire,R,Merrimack,29,Merrimack-29,376841,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Charles Melvin (R),"Melvin, Charles",Charles,Melvin,R,Rockingham,15,Rockingham-15,408915,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. John O'Day (R),"O'Day, John",John,O'Day,R,Cheshire,11,Cheshire-11,408284,57,57,56,1,0,0,140,138,0,98.6,A+,0,98.6,A+
Rep. Mark McLean (R),"McLean, Mark",Mark,McLean,R,Hillsborough,44,Hillsborough-44,377251,57,57,55,1,1,0,140,137,1.8,97.9,A+,0,97.9,A+
Rep. Tony Piemonte (R),"Piemonte, Tony",Tony,Piemonte,R,Rockingham,4,Rockingham-4,408902,57,57,55,1,1,0,140,137,1.8,97.9,A+,0,97.9,A+
Rep. Michael Yakubovich (R),"Yakubovich, Michael",Michael,Yakubovich,R,Merrimack,24,Merrimack-24,408896,57,57,55,1,1,0,140,137,1.8,97.9,A+,0,97.9,A+
Rep. Michael Gunski (R),"Gunski, Michael",Michael,Gunski,R,Hillsborough,6,Hillsborough-6,408951,57,57,54,0,3,0,140,136.5,5.3,97.5,A+,0,97.5,A+
Rep. Hershel Nunez (R),"Nunez, Hershel",Hershel,Nunez,R,Hillsborough,37,Hillsborough-37,408882,57,57,54,0,3,0,140,136.5,5.3,97.5,A+,0,97.5,A+
Rep. Dan Davis (R),"Davis, Dan",Dan,Davis,R,Rockingham,16,Rockingham-16,408916,57,57,54,0,3,0,140,136,5.3,97.1,A+,0,97.1,A+
Rep. Peter Torosian (R),"Torosian, Peter",Peter,Torosian,R,Rockingham,14,Rockingham-14,408418,57,57,55,2,0,0,140,136,0,97.1,A+,0,97.1,A+
Rep. Mark Warden (R),"Warden, Mark",Mark,Warden,R,Hillsborough,15,Hillsborough-15,377049,57,57,54,0,3,0,140,136,5.3,97.1,A+,0,97.1,A+
Rep. Brian Seaworth (R),"Seaworth, Brian",Brian,Seaworth,R,Merrimack,20,Merrimack-20,377023,57,57,54,1,2,0,140,135.5,3.5,96.8,A,0,96.8,A
Rep. Harry  Bean (R),"Bean, Harry ",Harry ,Bean,R,Belknap,2,Belknap-2,408817,57,57,55,2,0,0,140,135,0,96.4,A,0,96.4,A
Rep. Howard Pearl (R),"Pearl, Howard",Howard,Pearl,R,Merrimack,26,Merrimack-26,408383,57,57,54,2,1,0,140,135,1.8,96.4,A,0,96.4,A
Rep. Jason Osborne (R),"Osborne, Jason",Jason,Osborne,R,Rockingham,4,Rockingham-4,377253,57,57,54,2,1,0,140,134.5,1.8,96.1,A,0,96.1,A
Rep. Lino Avellani (R),"Avellani, Lino",Lino,Avellani,R,Carroll,5,Carroll-5,377205,57,57,53,1,3,0,140,134,5.3,95.7,A,0,95.7,A
Rep. Keith  Erf (R),"Erf, Keith ",Keith ,Erf,R,Hillsborough,2,Hillsborough-2,408845,57,57,53,1,3,0,140,134,5.3,95.7,A,0,95.7,A
Rep. Bob Greene (R),"Greene, Bob",Bob,Greene,R,Hillsborough,37,Hillsborough-37,408879,57,57,54,3,0,0,140,134,0,95.7,A,0,95.7,A
Rep. Thomas Laware (R),"Laware, Thomas",Thomas,Laware,R,Sullivan,8,Sullivan-8,376965,57,57,54,3,0,0,140,134,0,95.7,A,0,95.7,A
Rep. Jeanine Notter (R),"Notter, Jeanine",Jeanine,Notter,R,Hillsborough,21,Hillsborough-21,376991,57,57,53,1,3,0,140,134,5.3,95.7,A,0,95.7,A
Rep. Kurt Wuelper (R),"Wuelper, Kurt",Kurt,Wuelper,R,Strafford,3,Strafford-3,377277,57,57,54,3,0,0,140,134,0,95.7,A,0,95.7,A
Rep. Dennis Acton (R),"Acton, Dennis",Dennis,Acton,R,Rockingham,10,Rockingham-10,408912,57,57,53,2,2,0,140,133.5,3.5,95.4,A,0,95.4,A
Rep. Raymond Howard (R),"Howard, Raymond",Raymond,Howard,R,Belknap,8,Belknap-8,377237,57,57,54,3,0,0,140,133,0,95,A,0,95,A
Rep. John Janigian (R),"Janigian, John",John,Janigian,R,Rockingham,8,Rockingham-8,408412,57,57,53,3,1,0,140,133,1.8,95,A,0,95,A
Rep. Vincent Paul Migliore (R),"Migliore, Vincent Paul",Vincent Paul,Migliore,R,Grafton,9,Grafton-9,408809,57,57,53,3,1,0,140,133,1.8,95,A,0,95,A
Rep. Jordan Ulery (R),"Ulery, Jordan",Jordan,Ulery,R,Hillsborough,37,Hillsborough-37,376635,57,57,53,3,1,0,140,132.5,1.8,94.6,A,0,94.6,A
Rep. Barbara Comtois (R),"Comtois, Barbara",Barbara,Comtois,R,Belknap,7,Belknap-7,408274,57,57,51,1,5,0,140,132,8.8,94.3,A,0,94.3,A
Rep. Larry Gagne (R),"Gagne, Larry",Larry,Gagne,R,Hillsborough,13,Hillsborough-13,376814,57,57,53,4,0,0,140,132,0,94.3,A,0,94.3,A
Rep. Deborah Hobson (R),"Hobson, Deborah",Deborah,Hobson,R,Rockingham,35,Rockingham-35,408927,57,57,53,4,0,0,140,132,0,94.3,A,0,94.3,A
Rep. Mona Perreault (R),"Perreault, Mona",Mona,Perreault,R,Strafford,24,Strafford-24,408939,57,57,53,3,1,0,140,132,1.8,94.3,A,0,94.3,A
Rep. Steven Smith (R),"Smith, Steven",Steven,Smith,R,Sullivan,11,Sullivan-11,377031,57,57,52,3,2,0,140,132,3.5,94.3,A,0,94.3,A
Rep. Paul Somero (R),"Somero, Paul",Paul,Somero,R,Hillsborough,25,Hillsborough-25,408344,57,57,53,4,0,0,140,132,0,94.3,A,0,94.3,A
Rep. Douglas Thomas (R),"Thomas, Douglas",Douglas,Thomas,R,Rockingham,5,Rockingham-5,377267,57,57,53,4,0,0,140,132,0,94.3,A,0,94.3,A
Rep. James Horgan (R),"Horgan, James",James,Horgan,R,Strafford,2,Strafford-2,408434,57,57,52,2,3,0,140,131.5,5.3,93.9,A,0,93.9,A
Rep. Gates Lucas (R),"Lucas, Gates",Gates,Lucas,R,Sullivan,2,Sullivan-2,408940,57,57,53,3,1,0,140,131.5,1.8,93.9,A,0,93.9,A
Rep. Andrew Renzullo (R),"Renzullo, Andrew",Andrew,Renzullo,R,Hillsborough,37,Hillsborough-37,376618,57,57,53,3,1,0,140,131.5,1.8,93.9,A,0,93.9,A
Rep. Michael Vose (R),"Vose, Michael",Michael,Vose,R,Rockingham,9,Rockingham-9,377272,57,57,52,3,2,0,140,131.5,3.5,93.9,A,0,93.9,A
Rep. Daryl Abbas (R),"Abbas, Daryl",Daryl,Abbas,R,Rockingham,8,Rockingham-8,408908,57,57,53,4,0,0,140,131,0,93.6,A,0,93.6,A
Rep. Richard Hinch (R),"Hinch, Richard",Richard,Hinch,R,Hillsborough,21,Hillsborough-21,376823,57,57,52,3,2,0,140,131,3.5,93.6,A,0,93.6,A
Rep. Kimberly Rice (R),"Rice, Kimberly",Kimberly,Rice,R,Hillsborough,37,Hillsborough-37,377259,57,57,52,4,1,0,140,131,1.8,93.6,A,0,93.6,A
Rep. Thomas Walsh (R),"Walsh, Thomas",Thomas,Walsh,R,Merrimack,24,Merrimack-24,377187,57,57,51,3,3,0,140,130.5,5.3,93.2,A,0,93.2,A
Rep. Joe Alexander (R),"Alexander, Joe",Joe,Alexander,R,Hillsborough,6,Hillsborough-6,408950,57,57,52,5,0,0,140,130,0,92.9,A,0,92.9,A
Rep. Deanna Jurius (R),"Jurius, Deanna",Deanna,Jurius,R,Belknap,2,Belknap-2,408818,57,57,52,5,0,0,140,130,0,92.9,A,0,92.9,A
Rep. David Love (R),"Love, David",David,Love,R,Rockingham,6,Rockingham-6,408905,57,57,52,5,0,0,140,130,0,92.9,A,0,92.9,A
Rep. John MacDonald (R),"MacDonald, John",John,MacDonald,R,Carroll,6,Carroll-6,408825,57,57,52,4,1,0,140,130,1.8,92.9,A,0,92.9,A
Rep. Walter Stapleton (R),"Stapleton, Walter",Walter,Stapleton,R,Sullivan,5,Sullivan-5,408955,57,57,52,5,0,0,140,130,0,92.9,A,0,92.9,A
Rep. Kenneth Weyler (R),"Weyler, Kenneth",Kenneth,Weyler,R,Rockingham,13,Rockingham-13,374470,57,57,52,5,0,0,140,130,0,92.9,A,0,92.9,A
Rep. Kevin Pratt (R),"Pratt, Kevin",Kevin,Pratt,R,Rockingham,3,Rockingham-3,408900,57,57,52,5,0,0,140,129,0,92.1,A,0,92.1,A
Rep. Kevin Verville (R),"Verville, Kevin",Kevin,Verville,R,Rockingham,2,Rockingham-2,408388,57,57,49,1,7,0,140,129,12.3,92.1,A,0,92.1,A
Rep. Fred Plett (R),"Plett, Fred",Fred,Plett,R,Hillsborough,6,Hillsborough-6,408952,57,57,51,5,1,0,140,128.5,1.8,91.8,A-,0,91.8,A-
Rep. Max Abramson (R),"Abramson, Max",Max,Abramson,R,Rockingham,20,Rockingham-20,377201,57,57,49,3,5,0,140,127.5,8.8,91.1,A-,0,91.1,A-
Rep. Reed Panasiti (R),"Panasiti, Reed",Reed,Panasiti,R,Hillsborough,22,Hillsborough-22,407523,57,57,51,5,1,0,140,127.5,1.8,91.1,A-,0,91.1,A-
Rep. Dave Testerman (R),"Testerman, Dave",Dave,Testerman,R,Merrimack,2,Merrimack-2,408369,57,57,48,2,7,0,140,127.5,12.3,91.1,A-,0,91.1,A-
Rep. Skip Rollins (R),"Rollins, Skip",Skip,Rollins,R,Sullivan,6,Sullivan-6,377163,57,57,51,6,0,0,140,127,0,90.7,A-,0,90.7,A-
Rep. Franklin Tilton (R),"Tilton, Franklin",Franklin,Tilton,R,Belknap,3,Belknap-3,376632,57,57,51,6,0,0,140,127,0,90.7,A-,0,90.7,A-
Rep. Gregory Hill (R),"Hill, Gregory",Gregory,Hill,R,Merrimack,3,Merrimack-3,376948,57,57,48,4,5,0,140,126.5,8.8,90.4,A-,0,90.4,A-
Rep. Linda Camarota (R),"Camarota, Linda",Linda,Camarota,R,Hillsborough,7,Hillsborough-7,408849,57,57,47,2,8,0,140,126,14,90,A-,0,90,A-
Rep. Al Baldasaro (R),"Baldasaro, Al",Al,Baldasaro,R,Rockingham,5,Rockingham-5,376740,57,57,46,3,8,0,140,125.5,14,89.6,A-,0,89.6,A-
Rep. Ralph Boehm (R),"Boehm, Ralph",Ralph,Boehm,R,Hillsborough,20,Hillsborough-20,376553,57,57,47,2,8,0,140,125.5,14,89.6,A-,0,89.6,A-
Rep. Dennis Green (R),"Green, Dennis",Dennis,Green,R,Rockingham,13,Rockingham-13,377777,57,57,47,3,7,0,140,125.5,12.3,89.6,A-,0,89.6,A-
Rep. Joseph Pitre (R),"Pitre, Joseph",Joseph,Pitre,R,Strafford,2,Strafford-2,377005,57,57,47,1,9,0,140,125.5,15.8,89.6,A-,0,89.6,A-
Rep. Dennis Fields (R),"Fields, Dennis",Dennis,Fields,R,Belknap,4,Belknap-4,369207,57,57,50,7,0,0,140,125,0,89.3,A-,0,89.3,A-
Rep. Peter Spanos (R),"Spanos, Peter",Peter,Spanos,R,Belknap,3,Belknap-3,377263,57,57,47,3,7,0,140,125,12.3,89.3,A-,0,89.3,A-
Rep. Robert Harb (R),"Harb, Robert",Robert,Harb,R,Rockingham,14,Rockingham-14,408914,57,57,49,6,2,0,140,124.5,3.5,88.9,A-,0,88.9,A-
Rep. Peter Hayward (R),"Hayward, Peter",Peter,Hayward,R,Strafford,1,Strafford-1,408928,57,57,47,4,6,0,140,124.5,10.5,88.9,A-,0,88.9,A-
Rep. Troy Merner (R),"Merner, Troy",Troy,Merner,R,Coos,7,Coos-7,408060,57,57,49,6,2,0,140,124.5,3.5,88.9,A-,0,88.9,A-
Rep. Sherman Packard (R),"Packard, Sherman",Sherman,Packard,R,Rockingham,5,Rockingham-5,375453,57,57,48,5,4,0,140,124.5,7,88.9,A-,0,88.9,A-
Rep. Patrick Abrami (R),"Abrami, Patrick",Patrick,Abrami,R,Rockingham,19,Rockingham-19,376897,57,57,50,7,0,0,140,124,0,88.6,A-,0,88.6,A-
Rep. Tom Dolan (R),"Dolan, Tom",Tom,Dolan,R,Rockingham,5,Rockingham-5,408903,57,57,48,4,5,0,140,124,8.8,88.6,A-,0,88.6,A-
Rep. Richard Barry (R),"Barry, Richard",Richard,Barry,R,Hillsborough,21,Hillsborough-21,376711,57,57,47,5,5,0,140,123.5,8.8,88.2,A-,0,88.2,A-
Rep. Ed Comeau (R),"Comeau, Ed",Ed,Comeau,R,Carroll,5,Carroll-5,377215,57,57,46,2,9,0,140,123.5,15.8,88.2,A-,0,88.2,A-
Rep. Joel Desilets (R),"Desilets, Joel",Joel,Desilets,R,Rockingham,7,Rockingham-7,408907,57,57,44,1,12,0,140,123.5,21.1,88.2,A-,0,88.2,A-
Rep. Erin Hennessey (R),"Hennessey, Erin",Erin,Hennessey,R,Grafton,1,Grafton-1,377235,57,57,49,8,0,0,140,123,0,87.9,A-,0,87.9,A-
Rep. Werner Horn (R),"Horn, Werner",Werner,Horn,R,Merrimack,2,Merrimack-2,377236,57,57,49,7,1,0,140,123,1.8,87.9,A-,0,87.9,A-
Rep. John Potucek (R),"Potucek, John",John,Potucek,R,Rockingham,6,Rockingham-6,377257,57,57,44,2,11,0,140,122.5,19.3,87.5,A-,0,87.5,A-
Rep. Katherine Prudhomme-O'Brien (R),"Prudhomme-O'Brien, Katherine",Katherine,Prudhomme-O'Brien,R,Rockingham,6,Rockingham-6,377258,57,57,47,5,5,0,140,122,8.8,87.1,A-,0,87.1,A-
Rep. Richard Beaudoin (R),"Beaudoin, Richard",Richard,Beaudoin,R,Belknap,3,Belknap-3,408820,57,57,43,2,12,0,140,121.5,21.1,86.8,B+,0,86.8,B+
Rep. Jason Janvrin (R),"Janvrin, Jason",Jason,Janvrin,R,Rockingham,37,Rockingham-37,408422,57,57,44,4,9,0,140,121.5,15.8,86.8,B+,0,86.8,B+
Rep. Scott Wallace (R),"Wallace, Scott",Scott,Wallace,R,Rockingham,12,Rockingham-12,408431,57,57,44,2,11,0,140,121.5,19.3,86.8,B+,0,86.8,B+
Rep. Debra DeSimone (R),"DeSimone, Debra",Debra,DeSimone,R,Rockingham,14,Rockingham-14,376807,57,57,44,5,8,0,140,120.5,14,86.1,B+,0,86.1,B+
Rep. James Allard (R),"Allard, James",James,Allard,R,Merrimack,21,Merrimack-21,408893,57,57,48,9,0,0,140,120,0,85.7,B+,0,85.7,B+
Rep. Michael Harrington (R),"Harrington, Michael",Michael,Harrington,R,Strafford,3,Strafford-3,376347,57,57,42,0,15,0,140,120,26.3,85.7,B+,0,85.7,B+
Rep. Frank Kotowski (R),"Kotowski, Frank",Frank,Kotowski,R,Merrimack,24,Merrimack-24,376831,57,57,48,8,1,0,140,120,1.8,85.7,B+,0,85.7,B+
Rep. Edward Gordon (R),"Gordon, Edward",Edward,Gordon,R,Grafton,9,Grafton-9,375849,57,57,48,9,0,0,140,119,0,85,B+,0,85,B+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,37,Hillsborough-37,408881,57,57,39,0,18,0,140,119,31.6,85,B+,0,85,B+
Rep. John Sytek (R),"Sytek, John",John,Sytek,R,Rockingham,8,Rockingham-8,375692,57,57,45,7,5,0,140,119,8.8,85,B+,0,85,B+
Rep. David Welch (R),"Welch, David",David,Welch,R,Rockingham,13,Rockingham-13,330795,57,57,48,9,0,0,140,119,0,85,B+,0,85,B+
Rep. Arthur Barnes (R),"Barnes, Arthur",Arthur,Barnes,R,Rockingham,8,Rockingham-8,377206,57,57,43,5,9,0,140,118.5,15.8,84.6,B+,0,84.6,B+
Rep. Stephen Pearson (R),"Pearson, Stephen",Stephen,Pearson,R,Rockingham,6,Rockingham-6,408906,57,57,43,4,10,0,140,118.5,17.5,84.6,B+,0,84.6,B+
Rep. Mark Proulx (R),"Proulx, Mark",Mark,Proulx,R,Hillsborough,44,Hillsborough-44,377007,57,57,45,7,5,0,140,118.5,8.8,84.6,B+,0,84.6,B+
Rep. Gary Hopper (R),"Hopper, Gary",Gary,Hopper,R,Hillsborough,2,Hillsborough-2,376353,57,57,43,5,9,0,140,118,15.8,84.3,B+,0,84.3,B+
Rep. John  Callum (R),"Callum, John ",John ,Callum,R,Sullivan,6,Sullivan-6,408956,57,57,40,2,15,0,140,117.5,26.3,83.9,B+,0,83.9,B+
Rep. Mark Pearson (R),"Pearson, Mark",Mark,Pearson,R,Rockingham,34,Rockingham-34,408749,57,57,44,8,5,0,140,117.5,8.8,83.9,B+,0,83.9,B+
