FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Michael Yakubovich (R),"Yakubovich, Michael",Michael,Yakubovich,R,Merrimack,24,Merrimack-24,408896,49,49,48,0,1,0,112,110.5,2,98.7,A+,13,110.3,A+
Rep. Gregory Hill (R),"Hill, Gregory",Gregory,Hill,R,Merrimack,3,Merrimack-3,376948,49,49,47,1,1,0,112,109,2,97.3,A+,8.25,104.7,A+
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,49,49,49,0,0,0,112,112,0,100,A+,4.25,103.8,A+
Rep. Alicia Lekas (R),"Lekas, Alicia",Alicia,Lekas,R,Hillsborough,37,Hillsborough-37,408880,49,49,49,0,0,0,112,112,0,100,A+,4.125,103.7,A+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,37,Hillsborough-37,408881,49,49,48,0,1,0,112,111,2,99.1,A+,5.1875,103.7,A+
Rep. Andrew Prout (R),"Prout, Andrew",Andrew,Prout,R,Hillsborough,37,Hillsborough-37,408359,49,49,49,0,0,0,112,112,0,100,A+,3.5,103.1,A+
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,33,Rockingham-33,408926,49,49,48,1,0,0,112,109,0,97.3,A+,6.3125,102.9,A+
Rep. David Binford (R),"Binford, David",David,Binford,R,Grafton,15,Grafton-15,408297,49,49,49,0,0,0,112,112,0,100,A+,2,101.8,A+
Rep. Norman Silber (R),"Silber, Norman",Norman,Silber,R,Belknap,2,Belknap-2,408258,49,49,49,0,0,0,112,112,0,100,A+,2,101.8,A+
Rep. Michael Sylvia (R),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-6,377177,49,49,49,0,0,0,112,112,0,100,A+,2,101.8,A+
Rep. Glenn Cordelli (R),"Cordelli, Glenn",Glenn,Cordelli,R,Carroll,4,Carroll-4,377085,49,49,45,3,1,0,112,104,2,92.9,A,9.75,101.6,A+
Rep. Peter Torosian (R),"Torosian, Peter",Peter,Torosian,R,Rockingham,14,Rockingham-14,408418,49,49,49,0,0,0,112,112,0,100,A+,1.5,101.3,A+
Rep. Melissa Blasek (R),"Blasek, Melissa",Melissa,Blasek,R,Hillsborough,21,Hillsborough-21,409000,49,49,49,0,0,0,112,112,0,100,A+,1.3125,101.2,A+
Rep. Hershel Nunez (R),"Nunez, Hershel",Hershel,Nunez,R,Hillsborough,37,Hillsborough-37,408882,49,49,49,0,0,0,112,112,0,100,A+,1.25,101.1,A+
Rep. Kevin Verville (R),"Verville, Kevin",Kevin,Verville,R,Rockingham,2,Rockingham-2,408388,49,49,49,0,0,0,112,112,0,100,A+,1.25,101.1,A+
Rep. Jim Kofalt (R),"Kofalt, Jim",Jim,Kofalt,R,Hillsborough,4,Hillsborough-4,408995,49,49,49,0,0,0,112,112,0,100,A+,1,100.9,A+
