FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Matthew Santonastaso (R),"Santonastaso, Matthew",Matthew,Santonastaso,R,Cheshire,18,Cheshire-18,409052,55,55,55,0,0,0,96,96,0,100,A+,1.999999999925,101.999999999925,A+
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,32,Rockingham-32,408926,55,55,55,0,0,0,96,96,0,100,A+,1.1666666667,101.1666666667,A+
Rep. Alicia Lekas (R),"Lekas, Alicia",Alicia,Lekas,R,Hillsborough,38,Hillsborough-38,408880,55,55,55,0,0,0,96,96,0,100,A+,0.9166666666,100.9166666666,A+
Rep. Emily Phillips (R),"Phillips, Emily",Emily,Phillips,R,Rockingham,7,Rockingham-07,409152,55,55,55,0,0,0,96,96,0,100,A+,0.25,100.25,A+
Rep. Michael Granger (R),"Granger, Michael",Michael,Granger,R,Strafford,2,Strafford-02,409103,55,55,55,0,0,0,96,96,0,100,A+,0.16666666665,100.16666666665,A+
Rep. Glenn Bailey (R),"Bailey, Glenn",Glenn,Bailey,R,Strafford,2,Strafford-02,409046,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,1.66666666675,99.5833333334167,A+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,38,Hillsborough-38,408881,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,1.4166666667,99.3333333333667,A+
Rep. Tom Mannion (R),"Mannion, Tom",Tom,Mannion,R,Hillsborough,1,Hillsborough-01,409126,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,0.33333333335,98.2500000000167,A+
Rep. Travis Corcoran (R),"Corcoran, Travis",Travis,Corcoran,R,Hillsborough,44,Hillsborough-44,409083,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,0.3333333333,98.2499999999667,A+
Rep. Michael Costable (R),"Costable, Michael",Michael,Costable,R,Carroll,8,Carroll-08,408389,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,0,97.9166666666667,A+
Rep. Julius Soti (R),"Soti, Julius",Julius,Soti,R,Rockingham,35,Rockingham-35,409036,55,55,54,1,0,0,96,94,0,97.9166666666667,A+,0,97.9166666666667,A+
Rep. Leah Cushman (R),"Cushman, Leah",Leah,Cushman,R,Hillsborough,28,Hillsborough-28,408994,55,55,52,3,0,0,96,92,0,95.8333333333333,A,1.999999999975,97.8333333333083,A+
Rep. J.R. Hoell (R),"Hoell, J.R.",J.R.,Hoell,R,Merrimack,27,Merrimack-27,376949,55,55,53,2,0,0,96,92,0,95.8333333333333,A,0.583333333275,96.4166666666083,A
Rep. Matthew Coulon (R),"Coulon, Matthew",Matthew,Coulon,R,Grafton,5,Grafton-05,409193,55,55,52,3,0,0,96,92,0,95.8333333333333,A,0.16666666665,95.9999999999834,A
Rep. Carol McGuire (R),"McGuire, Carol",Carol,McGuire,R,Merrimack,27,Merrimack-27,376841,55,55,52,3,0,0,96,91,0,94.7916666666667,A,1.083333333375,95.8750000000417,A
Rep. Dan McGuire (R),"McGuire, Dan",Dan,McGuire,R,Merrimack,14,Merrimack-14,376984,55,55,53,2,0,0,96,92,0,95.8333333333333,A,0,95.8333333333333,A
Rep. Lex Berezhny (R),"Berezhny, Lex",Lex,Berezhny,R,Grafton,11,Grafton-11,408988,55,55,53,2,0,0,96,92,0,95.8333333333333,A,0,95.8333333333333,A
Rep. Michael Harrington (R),"Harrington, Michael",Michael,Harrington,R,Strafford,18,Strafford-18,376347,55,55,51,2,2,0,96,91.5,3.63636363636364,95.3125,A,0.5,95.8125,A
Rep. Jason Gerhard (R),"Gerhard, Jason",Jason,Gerhard,R,Merrimack,25,Merrimack-25,409099,55,55,52,3,0,0,96,91,0,94.7916666666667,A,0,94.7916666666667,A
Rep. Scott Wallace (R),"Wallace, Scott",Scott,Wallace,R,Rockingham,8,Rockingham-08,408431,55,55,51,4,0,0,96,90,0,93.75,A,0.6666666667,94.4166666667,A
