FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Hershel Nunez (R),"Nunez, Hershel",Hershel,Nunez,R,Hillsborough,37,Hillsborough-37,408882,67,67,64,3,0,0,142,139,0,97.887323943662,A+,4.583333333325,102.470657276987,A+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,37,Hillsborough-37,408881,67,67,64,2,1,0,142,136,1.49253731343284,95.7746478873239,A,5,100.774647887324,A+
Rep. Melissa Blasek (R),"Blasek, Melissa",Melissa,Blasek,R,Hillsborough,21,Hillsborough-21,409000,67,67,64,3,0,0,142,136,0,95.7746478873239,A,4.50000000005,100.274647887374,A+
Rep. Kevin Craig (R),"Craig, Kevin",Kevin,Craig,R,Coos,4,Coos-04,408944,67,67,66,1,0,0,142,141,0,99.2957746478873,A+,0.833333333325,100.129107981212,A+
Rep. Matthew Santonastaso (R),"Santonastaso, Matthew",Matthew,Santonastaso,R,Cheshire,14,Cheshire-14,409052,67,67,67,0,0,0,142,142,0,100,A+,0,100,A+
Rep. Michael Yakubovich (R),"Yakubovich, Michael",Michael,Yakubovich,R,Merrimack,24,Merrimack-24,408896,67,67,63,4,0,0,142,134,0,94.3661971830986,A,5,99.3661971830986,A+
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,67,67,64,3,0,0,142,139,0,97.887323943662,A+,1.08333333335,98.970657277012,A+
Rep. Dustin Dodge (R),"Dodge, Dustin",Dustin,Dodge,R,Rockingham,3,Rockingham-03,409032,67,67,65,1,1,0,142,140.5,1.49253731343284,98.943661971831,A+,0,98.943661971831,A+
Rep. Michael Sylvia (R),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-06,377177,67,67,64,3,0,0,142,136,0,95.7746478873239,A,2.33333333345,98.1079812207739,A+
Rep. Glenn Bailey (R),"Bailey, Glenn",Glenn,Bailey,R,Strafford,1,Strafford-01,409046,67,67,65,2,0,0,142,138,0,97.1830985915493,A+,0.6666666667,97.8497652582493,A+
Rep. Norman Silber (R),"Silber, Norman",Norman,Silber,R,Belknap,2,Belknap-02,408258,67,67,63,4,0,0,142,134,0,94.3661971830986,A,3.416666666775,97.7828638498736,A+
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,33,Rockingham-33,408926,67,67,63,4,0,0,142,134,0,94.3661971830986,A,2.250000000075,96.6161971831736,A
