Name,EmployeeNumber,Grade,Grade/Atten,RoundPercent,RawPercent,IncDer,% Missed,VotesInOffice,Presiding?
"MacKay, Mariellen (D)",377136,CT,CT,14,13.7566137566138,,0,94,0
"Schmidt, Peter (D)",376521,CT,CT,13,13.2275132275132,,0,94,0
"Levesque, Melanie (D)",376690,CT,CT,13,13.2275132275132,,11,94,0
"Sad, Tara (D)",376667,CT,CT,13,12.962962962963,,5,94,0
"Weber, Lucy (D)",376668,CT,CT,13,12.962962962963,,1,94,0
"Cahill, Michael (D)",377079,CT,CT,12,12.1693121693122,,0,94,0
"Knowles, Mary Ann (D)",376723,CT,CT,12,12.1693121693122,,3,94,0
"Ames, Richard (D)",377061,CT,CT,11,11.1111111111111,,0,94,0
"Williams, Carol (D)",376179,CT,CT,10,10.3174603174603,,24,23,0
"Lauer, Linda (D)",377131,CT,CT,6,5.82010582010582,,0,11,0
"Azarian, Gary (R)",376901,CT,CT,6,5.55555555555556,,7,11,0
